HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2023-06-30 22:00;2023-07-01 00:00;NO2;724,359985;97,269997
2023-06-30 23:00;2023-07-01 01:00;NO2;685,260010;92,019997
2023-07-01 00:00;2023-07-01 02:00;NO2;618,090027;83,000000
2023-07-01 01:00;2023-07-01 03:00;NO2;578,169983;77,639999
2023-07-01 02:00;2023-07-01 04:00;NO2;486,649994;65,349998
2023-07-01 03:00;2023-07-01 05:00;NO2;387,829987;52,080002
2023-07-01 04:00;2023-07-01 06:00;NO2;392,450012;52,700001
2023-07-01 05:00;2023-07-01 07:00;NO2;410,470001;55,119999
2023-07-01 06:00;2023-07-01 08:00;NO2;550,169983;73,879997
2023-07-01 07:00;2023-07-01 09:00;NO2;477,049988;64,059998
2023-07-01 08:00;2023-07-01 10:00;NO2;340,839996;45,770000
2023-07-01 09:00;2023-07-01 11:00;NO2;189,149994;25,400000
2023-07-01 10:00;2023-07-01 12:00;NO2;129,050003;17,330000
2023-07-01 11:00;2023-07-01 13:00;NO2;34,029999;4,570000
2023-07-01 12:00;2023-07-01 14:00;NO2;0,520000;0,070000
2023-07-01 13:00;2023-07-01 15:00;NO2;7,370000;0,990000
2023-07-01 14:00;2023-07-01 16:00;NO2;94,349998;12,670000
2023-07-01 15:00;2023-07-01 17:00;NO2;401,760010;53,950001
2023-07-01 16:00;2023-07-01 18:00;NO2;515,989990;69,290001
2023-07-01 17:00;2023-07-01 19:00;NO2;543,320007;72,959999
2023-07-01 18:00;2023-07-01 20:00;NO2;564,700012;75,830002
2023-07-01 19:00;2023-07-01 21:00;NO2;584,729980;78,519997
2023-07-01 20:00;2023-07-01 22:00;NO2;595,669983;79,989998
2023-07-01 21:00;2023-07-01 23:00;NO2;580,260010;77,919998
2023-07-01 22:00;2023-07-02 00:00;NO2;182,669998;24,530001
2023-07-01 23:00;2023-07-02 01:00;NO2;23,610001;3,170000
2023-07-02 00:00;2023-07-02 02:00;NO2;0,070000;0,010000
2023-07-02 01:00;2023-07-02 03:00;NO2;0,000000;0,000000
2023-07-02 02:00;2023-07-02 04:00;NO2;-0,220000;-0,030000
2023-07-02 03:00;2023-07-02 05:00;NO2;-0,370000;-0,050000
2023-07-02 04:00;2023-07-02 06:00;NO2;-0,450000;-0,060000
2023-07-02 05:00;2023-07-02 07:00;NO2;-3,870000;-0,520000
2023-07-02 06:00;2023-07-02 08:00;NO2;-22,639999;-3,040000
2023-07-02 07:00;2023-07-02 09:00;NO2;-37,459999;-5,030000
2023-07-02 08:00;2023-07-02 10:00;NO2;-31,570000;-4,240000
2023-07-02 09:00;2023-07-02 11:00;NO2;-22,860001;-3,070000
2023-07-02 10:00;2023-07-02 12:00;NO2;-18,620001;-2,500000
2023-07-02 11:00;2023-07-02 13:00;NO2;-31,350000;-4,210000
2023-07-02 12:00;2023-07-02 14:00;NO2;-49,299999;-6,620000
2023-07-02 13:00;2023-07-02 15:00;NO2;-45,349998;-6,090000
2023-07-02 14:00;2023-07-02 16:00;NO2;-31,950001;-4,290000
2023-07-02 15:00;2023-07-02 17:00;NO2;-7,970000;-1,070000
2023-07-02 16:00;2023-07-02 18:00;NO2;0,000000;0,000000
2023-07-02 17:00;2023-07-02 19:00;NO2;37,009998;4,970000
2023-07-02 18:00;2023-07-02 20:00;NO2;218,339996;29,320000
